KODE;NOMENKLATUR;GROUP
054;Beasiswa S-1 dalam negeri (257.308 mahasiswa);PENDIDIKAN
055;Kurikulum muatan lokal (130 buku pelajaran dan 9 model kurikulum);PENDIDIKAN
056;Subsidi untuk ilmu pengetahuan dan teknologi unggulan (12.584 laporan hasil penelitian);PENDIDIKAN
057;Tunjangan khusus Kementerian Agama (3.943 guru);PENDIDIKAN
058;Tunjangan khusus Kementerian Pendidikan dan Kebudayaan (52.375 guru pendidikan dasar, 7.116 guru pendidikan menengah dan 1.900 guru pendidikan anak usia dini/PAUD);PENDIDIKAN
059;Rumah kampung deret (20.000 rumah swadaya);KEMISKINAN
060;Penanganan kawasan permukiman kumuh (56 kab/kota);KEMISKINAN
061;Rumah sejahtera (55.000 unit);KEMISKINAN
062;Pelatihan keterampilan gratis (100 kabupaten);KEMISKINAN
063;Subsidi pangan/raskin (15 kg per keluarga per bulan);KEMISKINAN
064;Jaminan sosial tenaga kerja (36.195.298 pekerja formal dan 3.600.000 pekerja non formal);KEMISKINAN
065;Kartu keluarga sejahtera (16.340.897 kartu);KEMISKINAN
066;Jalan dan jalur air (122 kabupaten tertinggal);KEMISKINAN
067;peraturan Menteri ESDM tentang pengembangan dan pemberdayaan masyarakat sekitar tambang;KEMISKINAN
068;Redistribusi aset lahan (4,5 juta ha);KEMISKINAN
069;Legalisasi aset lahan (4,5 juta ha);KEMISKINAN
070;Penyelesaian tata organisasi dan tata kerja (47 k/l dan lembaga non struktural/LNS);REFORMASI BIROKRASI
071;Kinerja penyelenggaraan pemerintah daerah tercapai (354 kab/kota);REFORMASI BIROKRASI
072;Diklat manajemen pembangunan, kependudukan dan keuangan daerah (89 angkatan/2.670 orang);REFORMASI BIROKRASI
073;Pelayanan terpadu satu pintu (PTSP) terhubung sistem pelayanan informasi dan perijinan investasi secara elektronik (SPIPISE) dan tracking system (50 kab/kota);REFORMASI BIROKRASI
074;Unit kerja instansi pemerintah dengan predikat wilayah bebas korupsi (WBK)/ wilayah birokrasi bersih (WBB) (9 k/l);REFORMASI BIROKRASI
075;Penyederhanaan proses perizinan pos, telekomunikasi, dan penyiaran (8 peraturan menteri komunikasi dan informatika);REFORMASI BIROKRASI
076;Government public relation/GPR (seluruh K/L/D);REFORMASI BIROKRASI
077;Rekomendasi percepatan jangka waktu proses perizinan investasi (40 rekomendasi);REFORMASI BIROKRASI
078;Hasil pengembangan teknologi di industri (3 prototype pada tahun 2017);INDUSTRI
079;Revitalisasi industri pupuk (5 pabrik);INDUSTRI
080;Restrukturisasi mesin peralatan (20 IKM di wilayah I dan 12 IKM di wilayah III);INDUSTRI
081;Pembangunan rusunawa pekerja pada kawasan industri (5 tower block di 2 kawasan industri);INDUSTRI
082;Pembangunan kawasan industri baru (5 kawasan di wilayah I dan 5 kawasan di wilayah III);INDUSTRI
083;Peningkatan akses transportasi pariwisata (25 kawasan strategis pariwisata nasional/KSPN);PARIWISATA
084;Kemitraan pengelolaan jasa lingkungan wisata alam (100 unit);PARIWISATA
085;Akses broadband internet (4.000 lokasi);PARIWISATA
086;Pembangunan pasar tradisional;PERDAGANGAN
087;Redistribusi dana desa di 50 kab/kota;DESA
088;Peningkatan populasi satwa yang terancam punah (meningkat 2% dari data dasar tahun 2013);HUTAN
089;Rehabilitasi hutan di kesatuan pengelolaan hutan (KPH) dan lahan kritis di daerah aliran sungai (DAS) prioritas (200.000 ha);HUTAN
090;Penataan frekuensi (refarming);TEKNOLOGI
091;Palapa ring (51 kab/kota);TEKNOLOGI
092;Pengintegrasian perpanjangan merk dan hak cipta dengan sistem informasi pendapatan negara bukan pajak online/simponi;TEKNOLOGI
093;Membangun science dan techno park (8 STP);TEKNOLOGI
094;Kegiatan komunikasi informasi dan edukasi tentang pencegahan seksual pada anak;ANAK DAN PEREMPUAN
095;Rekomendasi sinkronisasi peraturan yang belum berperspektif hak asasi manusia (HAM) kelompok rentan (16 rekomendasi);KAUM MARJINAL
096;Penetapan Desa Adat (50 desa di 5 provinsi);KAUM MARJINAL
097;Pemantauan isu krusial dalam pembentukan dan revisi peraturan perundang-undangan;UNDANG-UNDANG
098;Forum multilateral isu pembangunan ekonomi, keuangan dan lingkungan hidup (85% posisi Indonesia diterima);INTERNASIONAL
099;Pengembangan kawasan pos lintas batas negara (PLBN) terpadu (7 kawasan);KAWASAN PERBATASAN
100;Desa broadband terpadu (50 desa);KAWASAN PERBATASAN
